buysell,strngth,symb,perc_strngth,date,total_val,quantity
27.0,48.6839289342,AFAM,0.081070754701,2017-08-30 11:50,81070.75470101889,4278.0
1.0,4.93350993849,ALIM,0.00821551141813,2017-08-30 11:50,8215.511418133212,2214.0
1.0,1.71497644487,AMCX,0.00285585896053,2017-08-30 11:50,2855.858960527688,45.0
13.0,30.4635074852,ANGO,0.0507292569999,2017-08-30 11:50,50729.25699989898,4517.0
-32.0,54.0835932468,ARLP,0.0900625281782,2017-08-30 11:50,90062.52817823782,1175.0
5.0,8.69054144839,AUBN,0.0144718959502,2017-08-30 11:50,14471.895950178221,619.0
-24.0,60.8625031683,BIOS,0.10135108593,2017-08-30 11:50,101351.08593047861,8913.0
-1.0,0.504409725968,BUR,0.000839966659593,2017-08-30 11:50,839.9666595930391,297.0
11.0,18.762464531,CBF,0.0312441331848,2017-08-30 11:50,31244.13318475879,1441.0
5.0,7.8941548068,CHFC,0.0131457156792,2017-08-30 11:50,13145.715679161915,481.0
-1.0,1.91647233748,CRMT,0.00319139934193,2017-08-30 11:50,3191.39934192641,72.0
-9.0,16.4811483302,CWCO,0.0274451787833,2017-08-30 11:50,27445.17878327483,1987.0
6.0,11.5187264904,CZWI,0.0191815219152,2017-08-30 11:50,19181.521915216017,2634.0
-13.0,2.12623481342,FLN,0.0035407056244,2017-08-30 11:50,3540.705624399735,147.0
5.0,24.0793834713,HBAN,0.0400981151993,2017-08-30 11:50,40098.11519928143,4711.0
11.0,10.563293798,HBCP,0.0175904907241,2017-08-30 11:50,17590.490724099196,1012.0
-15.0,19.0650908388,HDNG,0.0317480806619,2017-08-30 11:50,31748.080661946886,2164.0
11.0,29.6738719927,HPJ,0.049414319058,2017-08-30 11:50,49414.319057971086,41178.0
-6.0,24.9603065752,MDCO,0.0415650695398,2017-08-30 11:50,41565.06953982737,1219.0
-2.0,10.6828254732,NWBI,0.0177895404585,2017-08-30 11:50,17789.540458525054,1319.0
2.0,3.10588411283,PBCT,0.00517206344174,2017-08-30 11:50,5172.063441743463,357.0
-2.0,3.45587037766,PWOD,0.00575487693371,2017-08-30 11:50,5754.876933708095,124.0
-21.0,0.104888825816,QSII,0.000174665776875,2017-08-30 11:50,174.6657768748304,8.0
1.0,3.56634880819,RCMT,0.0059388507817,2017-08-30 11:50,5938.850781698274,1015.0
5.0,42.6742951337,SANM,0.0710632315133,2017-08-30 11:50,71063.23151325736,4102.0
-15.0,4.27174171362,SEAC,0.0071135040288,2017-08-30 11:50,7113.504028801951,616.0
15.0,8.05111991789,STFC,0.0134071013211,2017-08-30 11:50,13407.10132112553,730.0
3.0,27.1614437665,TA,0.045230506106,2017-08-30 11:50,45230.50610601269,5495.0
-8.0,31.9845010698,TTMI,0.0532620866316,2017-08-30 11:50,53262.086631598526,5606.0
20.0,5.70281276929,VTWG,0.00949659046109,2017-08-30 11:50,9496.590461086906,106.0
13.0,15.1309360922,XRAY,0.0251967422347,2017-08-30 11:50,25196.742234723475,565.0
-6.0,35.0368262891,ZIXI,0.0583449612998,2017-08-30 11:50,58344.961299774994,12823.0
